date,price,total_volume,market_cap,coin_name
2019-02-24,2.7515859138045364,9264.589771779874,0.0,cosmos
2019-02-25,3.0023968122350664,528.4218389533717,0.0,cosmos
2019-02-26,3.740964101386213,10766.49468378952,0.0,cosmos
2019-02-27,3.99231201231624,13527.310483811609,0.0,cosmos
2019-02-28,3.5284050911536697,3560.4077253304335,0.0,cosmos
2019-03-01,2.8001866902790216,5925.559060900146,0.0,cosmos
2019-03-02,3.2982892776070383,13746.972863031151,0.0,cosmos
2019-03-03,3.9013606463714656,221.40221668158065,0.0,cosmos
2019-03-04,3.8550297936665885,230.415130767452,0.0,cosmos
2019-03-05,5.179266239045418,12827.385108919007,0.0,cosmos
2019-03-06,3.5493629156372712,6530.543815739328,0.0,cosmos
2019-03-07,4.9735687461423295,21.73449542064198,0.0,cosmos
2019-03-08,5.302412551328505,14204.898104381498,0.0,cosmos
2019-03-09,5.912536260783835,5525.738138603357,0.0,cosmos
2019-03-10,5.467036830588757,11725.973946088296,0.0,cosmos
2019-03-11,5.993913179929315,1140.701617272348,0.0,cosmos
2019-03-12,6.003677898661887,18.911585380784945,0.0,cosmos
2019-03-13,4.700521731172642,3188.128864167844,0.0,cosmos
2019-03-14,3.897236025165531,2785.00383594354,0.0,cosmos
2019-03-15,6.416644496392602,7198017.12935122,0.0,cosmos
2019-03-16,6.233417073176541,5635309.571785533,1472326624.4451358,cosmos
2019-03-17,5.4641441289707995,3032152.398123408,1290271156.3108008,cosmos
2019-03-18,3.8726341244990357,2208926.5407642093,914757269.9807022,cosmos
2019-03-19,4.306728600867673,2435551.4130299087,1017317601.7115281,cosmos
2019-03-20,4.285857984374575,3499648.5165091096,1012176445.0467892,cosmos
2019-03-21,4.223250249484494,3928709.515028898,997527313.0315177,cosmos
2019-03-22,3.5674262640658685,3753075.1256889,842664088.0098503,cosmos
2019-03-23,3.4420914707776977,4100044.8279158724,813018422.5935222,cosmos
2019-03-24,3.3400262733715294,3601266.2199359476,794504714.7712306,cosmos
2019-03-25,3.119899306940364,2518819.043978609,736923159.9891775,cosmos
