date,price,total_volume,market_cap,coin_name
2022-03-17,8.536838712231901,1455626533.6918294,946081401.9243534,apecoin
2022-03-18,8.536838712231901,1455626533.6918294,946081401.9243534,apecoin
2022-03-19,12.988729425242765,5214126303.852453,1740629590.0400217,apecoin
2022-03-20,11.53516533563708,1816679748.2748725,1542254655.9177086,apecoin
2022-03-21,9.61821369999986,1381888008.2736359,1261482818.2726943,apecoin
2022-03-22,10.483837782502226,1435512946.3926787,1369782083.4225965,apecoin
2022-03-23,12.266127009622561,1694958189.3887312,1621983419.0305803,apecoin
2022-03-24,13.286062710388501,1896631865.5149012,2213474682.9891324,apecoin
2022-03-25,12.79928941660666,1683233156.1230593,2221104963.054661,apecoin
2022-03-26,12.382675759261863,1127659906.895822,2086767749.1520858,apecoin
2022-03-27,13.847021291100928,1189565791.4253721,2329476789.025613,apecoin
2022-03-28,14.18646135013392,966740521.1790882,2377381131.210347,apecoin
2022-03-29,13.986992258917363,1423663766.0330324,2403638248.7220464,apecoin
2022-03-30,13.590267919386422,882224857.3377978,2306349178.925826,apecoin
2022-03-31,14.104502294957037,959389473.0782123,2367673997.6360755,apecoin
2022-04-01,12.700740339255667,729205645.6214988,2123205275.3242216,apecoin
2022-04-02,12.797642018230011,641309049.2390248,3554210553.917943,apecoin
2022-04-03,12.420142421461922,639023318.9647151,3441176365.9934916,apecoin
2022-04-04,12.320673821554694,444666473.8878333,3407383093.6942987,apecoin
2022-04-05,11.952930580358872,487764332.51033026,3320928687.585793,apecoin
2022-04-06,11.617339696554245,632116345.1261525,3227092504.756663,apecoin
2022-04-07,10.659660953158255,720976608.4147811,2964362601.7740498,apecoin
2022-04-08,11.243658713583923,480131640.7021636,3111892469.0195513,apecoin
2022-04-09,10.784827357765424,473588847.3924162,2981121259.830277,apecoin
2022-04-10,10.958970942417803,211035486.68833327,3037027857.1877594,apecoin
2022-04-11,12.225769197042208,518344184.2692845,3405843246.4331846,apecoin
2022-04-12,10.904991385611714,763833511.859494,3027316399.193208,apecoin
2022-04-13,11.636171214348515,554406609.780884,3229037511.9817114,apecoin
2022-04-14,13.287929347210952,1101316994.2822914,3717924422.165189,apecoin
2022-04-15,12.274877239177338,735552845.4776587,3393699526.052358,apecoin
2022-04-16,12.211134947638373,465222979.7361442,3388416580.1089582,apecoin
