date,price,total_volume,market_cap,coin_name
2022-03-15,0.05252296613852493,1874286.694819303,0.0,chain-2
2022-03-16,0.05252296613852493,1874286.694819303,0.0,chain-2
2022-03-17,0.05517957842196812,13319132.473918006,0.0,chain-2
2022-03-18,0.05585607908649753,16013299.754985461,0.0,chain-2
2022-03-19,0.05774827812075313,45279536.503215864,0.0,chain-2
2022-03-20,0.06472113174610912,51179029.195757344,0.0,chain-2
2022-03-21,0.05273818651867947,30453556.27125607,0.0,chain-2
2022-03-22,0.05699081539182864,38856214.90243216,0.0,chain-2
2022-03-23,0.06247325931201071,42105521.65814628,0.0,chain-2
2022-03-24,0.06444719065711721,36970862.84905671,0.0,chain-2
2022-03-25,0.06824938223208829,34260848.82899116,0.0,chain-2
2022-03-26,0.07111990113252817,37519980.666856624,0.0,chain-2
2022-03-27,0.0721826293410271,35531955.83382187,0.0,chain-2
2022-03-28,0.0740451761563009,37034435.521019325,0.0,chain-2
2022-03-29,0.07311039856040119,37616023.498626515,0.0,chain-2
2022-03-30,0.07558129564024191,38061707.0016811,0.0,chain-2
2022-03-31,0.07685557104433996,41648888.687424235,0.0,chain-2
2022-04-01,0.08404044226523322,48636943.08583521,0.0,chain-2
2022-04-02,0.07603681956603403,56208902.33342645,0.0,chain-2
2022-04-03,0.08724201960359788,108342971.95253135,0.0,chain-2
2022-04-04,0.0888146910043575,102269677.88164024,0.0,chain-2
2022-04-05,0.08223332930833423,59107862.76915058,0.0,chain-2
2022-04-06,0.07831947253074471,49095743.469812736,0.0,chain-2
2022-04-07,0.08642402140118684,81998477.78863998,0.0,chain-2
2022-04-08,0.08637171641380632,135688289.98993888,0.0,chain-2
2022-04-09,0.09394701268697632,158294244.65832004,0.0,chain-2
2022-04-10,0.10449320252672026,167857495.56249568,0.0,chain-2
2022-04-11,0.10467041927527342,258093422.05376056,0.0,chain-2
2022-04-12,0.09517441345603463,168715438.2163239,1487721254.5128875,chain-2
2022-04-13,0.09738848498508149,118788404.71635436,1628625397.9396305,chain-2
2022-04-14,0.1041460398240927,129591112.34789696,1741201438.3419275,chain-2
2022-04-15,0.101159637311728,164821666.1440205,1701800174.1629062,chain-2
